Stores,Store Code,Description,Barcode,Retail Price,Sold Price,Last Sold,Avg Wkly Sales,Competitor,Price Check Date,Competitor Price,Diff (€),Diff (%),Match Cost (PW),Offer,Details
5,150090,KILBEGGAN IRISH WHISKEY 70CL,5099357003609,26.99,26.99,21/02/2018,60,Tesco Ireland Website,25/02/2018,23,3.99,0.1734,239.4,Only 23.00 Kilbeggan Whiskey,valid from 21/2/2018 until 20/3/2018
5,42877,CADBURY DRINKING CHOCOLATE 250G,5034660021537,2.69,3.2,20/02/2018,60,Super Value Website,25/02/2018,2.95,0.25,0.0847,15,,
5,179216,EMBRACE MULTIGRAIN LOAF GL FREE 400G,5099105016257,1.89,1.89,23/02/2018,59,Tesco Ireland Website,25/02/2018,1.59,0.171,0.1075,10.089,,
5,8968,GUINNESS EXTRA  STOUT CAN  500ML,5011046007576,2.49,2.49,23/02/2018,59,Tesco Ireland Website,25/02/2018,2.33,0.16,0.0686,9.44,,
5,37632,ALPRO SOYA LIGHT FRESH MILK  1L,5411188097327,1.89,1.89,23/02/2018,57,Tesco Ireland Website,25/02/2018,0.89,1,1.1235,57,SAVE 1.00 Was 1.89 Now 89c,valid from 7/2/2018 until 6/3/2018
5,208410,TAYTO BISTRO SALT/VIN 135G,5011096008318,2.8,2.8,23/02/2018,57,Tesco Ireland Website,25/02/2018,2,0.8,0.4,45.6,SAVE 55c Was 2.55 Now 2.00,valid from 7/2/2018 until 6/3/2018
5,46408,IRISH PRIDE HEALTH/GRAIN SL 400G,5099268019010,1.69,1.69,23/02/2018,56,Super Value Website,25/02/2018,1,0.69,0.69,38.64,Special Offer,Feb 15th - Mar 7th
5,46408,IRISH PRIDE HEALTH/GRAIN SL 400G,5099268019010,1.69,1.69,23/02/2018,56,Tesco Ireland Website,25/02/2018,1,0.69,0.69,38.64,,
5,208591,IRISH PRIDE BIG TOAST 400G,5099268018402,1.35,1.35,23/02/2018,56,Super Value Website,25/02/2018,1,0.35,0.35,19.6,Special Offer,Feb 15th - Mar 7th
5,208591,IRISH PRIDE BIG TOAST 400G,5099268018402,1.35,1.35,23/02/2018,56,Tesco Ireland Website,25/02/2018,1,0.35,0.35,19.6,,
